subject,window_id,start_trial,end_trial,acc_ra,acc_w0,acc_w05,delta_dev_vs_ra,rho_kcar,rho_kcar_retro,d_src,d_src_retro,d_tgt,d_tgt_retro,sigma_recent,sigma_recent_retro,entropy,entropy_retro,conf_max,conf_max_retro,label,rho_kcar_causal,d_tgt_causal,sigma_recent_causal,budget_rank_rho_kcar_retro,budget_rank_rho_kcar_causal,budget_rank_d_tgt_retro,budget_rank_d_tgt_causal,budget_rank_sigma_recent_retro,budget_rank_sigma_recent_causal,policy,setting,coverage,score_column,score_value,budget_rank,budget_k,use_partial_alignment,selected_action,selected_accuracy,selected_delta_vs_ra
1,0,0,32,0.65625,0.53125,0.5625,-0.09375,0.9681249244417311,0.9681249244417311,2.342634410608413,2.342634410608413,2.0472404908960167,2.0472404908960167,0.4093835532514746,0.4093835532514746,1.0708930444409814,1.0708930444409814,0.5418046455405137,0.5418046455405137,ra-safe,0.9681249244417311,2.0472404908960167,0.4093835532514746,1,1,8,7,9,8,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.65625,0.0
1,1,32,64,0.46875,0.4375,0.4375,-0.03125,0.9263017715641928,0.9263017715641928,2.4492063101470407,2.4492063101470407,2.0309025281358397,2.0309025281358397,0.4733394571083921,0.4733394571083921,1.1612619762297571,1.1612619762297571,0.4836002795225651,0.4836002795225651,ra-safe,0.9681249244417311,2.0472404908960167,0.4093835532514746,5,2,9,8,8,9,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.46875,0.0
1,2,64,96,0.6875,0.59375,0.65625,-0.03125,0.9149172243595144,0.9149172243595144,2.5176855217533283,2.5176855217533283,2.345456081940592,2.345456081940592,0.5359976932433261,0.5359976932433261,1.1084465849395602,1.1084465849395602,0.5250437327610774,0.5250437327610774,ra-safe,0.9263017715641928,2.0309025281358397,0.4733394571083921,7,5,2,9,4,7,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.6875,0.0
1,3,96,128,0.46875,0.40625,0.46875,0.0,0.8266196609606448,0.8266196609606448,2.661581125348197,2.661581125348197,2.090459079890082,2.090459079890082,0.5050428849020417,0.5050428849020417,1.1449476493408153,1.1449476493408153,0.4881768743102723,0.4881768743102723,neutral,0.9149172243595144,2.345456081940592,0.5359976932433261,9,7,7,1,7,3,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.46875,0.0
1,4,128,160,0.59375,0.59375,0.5625,0.0,0.9470354571728572,0.9470354571728572,2.6402567897950564,2.6402567897950564,2.1397552803808573,2.1397552803808573,0.505921312861914,0.505921312861914,1.1185939865709504,1.1185939865709504,0.5287151159969832,0.5287151159969832,neutral,0.8266196609606448,2.090459079890082,0.5050428849020417,3,9,5,6,6,6,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.59375,0.0
1,5,160,192,0.59375,0.53125,0.59375,0.0,0.9341285239347754,0.9341285239347754,2.4843143696773518,2.4843143696773518,2.1097878437150275,2.1097878437150275,0.5258367565047088,0.5258367565047088,1.1535510432576586,1.1535510432576586,0.4999012549479912,0.4999012549479912,neutral,0.9470354571728572,2.1397552803808573,0.505921312861914,4,3,6,4,5,5,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.59375,0.0
1,6,192,224,0.46875,0.5,0.5,0.03125,0.8684887251060256,0.8684887251060256,2.4680562458687936,2.4680562458687936,2.2969328625793306,2.2969328625793306,0.5429061765477551,0.5429061765477551,1.172122956781775,1.172122956781775,0.4898454898545699,0.4898454898545699,deviation-beneficial,0.9341285239347754,2.1097878437150275,0.5258367565047088,8,4,4,5,3,4,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.46875,0.0
1,7,224,256,0.4375,0.5,0.46875,0.0625,0.926056266853136,0.926056266853136,2.7307993661257104,2.7307993661257104,2.3437537772333488,2.3437537772333488,0.5654488676145908,0.5654488676145908,1.1433700017019373,1.1433700017019373,0.499615524306297,0.499615524306297,deviation-beneficial,0.8684887251060256,2.2969328625793306,0.5429061765477551,6,8,3,3,1,2,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.4375,0.0
1,8,256,288,0.59375,0.59375,0.5625,0.0,0.9490932620577768,0.9490932620577768,2.682569670467276,2.682569670467276,2.3615847525993,2.3615847525993,0.5500257365923684,0.5500257365923684,1.200669566594983,1.200669566594983,0.4620349428640006,0.4620349428640006,neutral,0.926056266853136,2.3437537772333488,0.5654488676145908,2,6,1,2,2,1,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.59375,0.0
2,0,0,32,0.21875,0.3125,0.25,0.09375,0.9122906706386212,0.9122906706386212,3.682739177615143,3.682739177615143,1.225726501222412,1.225726501222412,0.3979896154186027,0.3979896154186027,1.2618182331716707,1.2618182331716707,0.4269974385551951,0.4269974385551951,deviation-beneficial,0.9122906706386212,1.225726501222412,0.3979896154186027,1,1,8,7,9,8,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.21875,0.0
2,1,32,64,0.25,0.25,0.28125,0.03125,0.8953632742287378,0.8953632742287378,4.047763524332359,4.047763524332359,1.939962132355601,1.939962132355601,0.7301983456439578,0.7301983456439578,1.07738616041456,1.07738616041456,0.5329192254961882,0.5329192254961882,deviation-beneficial,0.9122906706386212,1.225726501222412,0.3979896154186027,4,2,2,8,5,9,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.25,0.0
2,2,64,96,0.125,0.21875,0.1875,0.09375,0.8743159314496687,0.8743159314496687,3.642377208832314,3.642377208832314,1.2613391036636494,1.2613391036636494,0.7707618971270587,0.7707618971270587,1.240893736014634,1.240893736014634,0.4332169736834449,0.4332169736834449,deviation-beneficial,0.8953632742287378,1.939962132355601,0.7301983456439578,5,4,7,2,2,5,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.125,0.0
2,3,96,128,0.25,0.1875,0.15625,-0.0625,0.7575903528304065,0.7575903528304065,4.6138075828353085,4.6138075828353085,2.073085746176142,2.073085746176142,0.9630359018777976,0.9630359018777976,1.1082729366140451,1.1082729366140451,0.4974487604635407,0.4974487604635407,ra-safe,0.8743159314496687,1.2613391036636494,0.7707618971270587,8,5,1,6,1,2,ra,retrospective,0.1,ra_retro,,0,0,0,stay_with_ra,0.25,0.0
