target_subject,accuracy,kappa,f1_macro,method,w_mean,w_std,inference_sec
1,0.5208333333333334,0.36111111111111116,0.45805481338432447,noalign,,,
2,0.24305555555555555,-0.0092592592592593,0.2068542353986509,noalign,,,
3,0.4583333333333333,0.2777777777777778,0.4414147144251721,noalign,,,
4,0.3368055555555556,0.1157407407407407,0.258372465712582,noalign,,,
5,0.2777777777777778,0.03703703703703709,0.1677613194663305,noalign,,,
6,0.2465277777777778,-0.004629629629629539,0.18136218988209424,noalign,,,
7,0.3611111111111111,0.14814814814814814,0.3110040312421265,noalign,,,
8,0.5243055555555556,0.3657407407407407,0.49254290004850365,noalign,,,
9,0.4652777777777778,0.2870370370370371,0.4656545218337196,noalign,,,
1,0.5763888888888888,0.43518518518518523,0.5620577138475805,ea,,,
2,0.2222222222222222,-0.03703703703703698,0.22780170459915555,ea,,,
3,0.6493055555555556,0.5324074074074074,0.6444934429291437,ea,,,
4,0.3402777777777778,0.12037037037037035,0.3140884315305034,ea,,,
5,0.3194444444444444,0.09259259259259256,0.3101911362843279,ea,,,
6,0.3263888888888889,0.10185185185185186,0.31653100972493325,ea,,,
7,0.40625,0.20833333333333337,0.3892121872033751,ea,,,
8,0.5173611111111112,0.3564814814814815,0.4599691283018903,ea,,,
9,0.4548611111111111,0.27314814814814814,0.46661311639777603,ea,,,
1,0.5520833333333334,0.4027777777777778,0.5315317711985731,ra,,,
2,0.21875,-0.04166666666666674,0.2054118246176451,ra,,,
3,0.6527777777777778,0.537037037037037,0.647566895195117,ra,,,
4,0.3854166666666667,0.18055555555555558,0.3593041620215533,ra,,,
5,0.3298611111111111,0.10648148148148151,0.3250811876926125,ra,,,
6,0.3541666666666667,0.13888888888888884,0.3335752118905524,ra,,,
7,0.3888888888888889,0.18518518518518523,0.3704520123529519,ra,,,
8,0.5451388888888888,0.3935185185185185,0.4788423039550277,ra,,,
9,0.4201388888888889,0.22685185185185186,0.4262923548756605,ra,,,
1,0.5347222222222222,0.37962962962962965,0.49558704035654394,fixed/w=0.5,0.5,0.0,0.3142183097079396
2,0.2326388888888889,-0.02314814814814814,0.20822858822529913,fixed/w=0.5,0.5,0.0,0.31278155744075775
3,0.6145833333333334,0.48611111111111116,0.6157095472788904,fixed/w=0.5,0.5,0.0,0.308608409948647
4,0.3611111111111111,0.14814814814814814,0.2963124222754164,fixed/w=0.5,0.5,0.0,0.3116486668586731
5,0.3194444444444444,0.09259259259259256,0.2643998708607078,fixed/w=0.5,0.5,0.0,0.30791817605495453
6,0.28125,0.04166666666666663,0.27071829275663317,fixed/w=0.5,0.5,0.0,0.3135426752269268
7,0.3958333333333333,0.19444444444444442,0.3772496896218692,fixed/w=0.5,0.5,0.0,0.3100015940144658
8,0.5520833333333334,0.4027777777777778,0.5073416544971626,fixed/w=0.5,0.5,0.0,0.3286688271909952
9,0.4444444444444444,0.2592592592592593,0.45998623669818484,fixed/w=0.5,0.5,0.0,0.3109709704294801
1,0.5520833333333334,0.4027777777777778,0.5315317711985731,fixed/w=1.0,1.0,0.0,0.30721893440932035
2,0.21875,-0.04166666666666674,0.2054118246176451,fixed/w=1.0,1.0,0.0,0.30835694912821054
3,0.6527777777777778,0.537037037037037,0.647566895195117,fixed/w=1.0,1.0,0.0,0.30940594151616096
4,0.3854166666666667,0.18055555555555558,0.3593041620215533,fixed/w=1.0,1.0,0.0,0.3074622042477131
5,0.3298611111111111,0.10648148148148151,0.3250811876926125,fixed/w=1.0,1.0,0.0,0.30931053310632706
6,0.3541666666666667,0.13888888888888884,0.3335752118905524,fixed/w=1.0,1.0,0.0,0.30937228351831436
7,0.3888888888888889,0.18518518518518523,0.3704520123529519,fixed/w=1.0,1.0,0.0,0.3112629437819123
8,0.5451388888888888,0.3935185185185185,0.4788423039550277,fixed/w=1.0,1.0,0.0,0.3106208201497793
9,0.4201388888888889,0.22685185185185186,0.4262923548756605,fixed/w=1.0,1.0,0.0,0.3098331978544593
1,0.5381944444444444,0.3842592592592593,0.4938941550576771,adaptive/best,0.5047909593399651,0.2427654858234914,0.5005414076149464
2,0.22916666666666666,-0.02777777777777768,0.20875248853516826,adaptive/best,0.828351577482441,0.24199855240191057,0.5004582405090332
3,0.6215277777777778,0.49537037037037035,0.6226905029470476,adaptive/best,0.683700682972925,0.22440946615297644,0.5333626754581928
4,0.3680555555555556,0.15740740740740744,0.29551227082246834,adaptive/best,0.30068503587935486,0.1914447885667604,0.5004918165504932
5,0.3298611111111111,0.10648148148148151,0.3250811876926125,adaptive/best,0.9995145042114879,0.0031234273169056404,0.4997048508375883
6,0.3402777777777778,0.12037037037037035,0.32494408363011856,adaptive/best,0.9278587283474751,0.13515184376857114,0.5028722230345011
7,0.375,0.16666666666666663,0.34858938440148396,adaptive/best,0.35699015884583535,0.19296174852930661,0.5010655093938112
8,0.5694444444444444,0.42592592592592593,0.5134827810266407,adaptive/best,0.9011649416287502,0.14947665766746351,0.5024644425138831
9,0.4201388888888889,0.22685185185185186,0.4262923548756605,adaptive/best,0.9947378025700198,0.028444191109433015,0.5015286346897483
